,structure,sequence,number_of_FLS,number_of_contact,number_of_HH_contact,contact_order,energy,hydrophobicity,designability,reversed_structure,number_of_FLS_in_reversed_structure
217,032303010101223,0010011010000001,0,8.0,4.0,0.390625,-4.0,5,601,033212121010301,1
218,032303010101223,0010011010000011,0,8.0,4.0,0.390625,-4.0,6,601,033212121010301,1
219,032303010012123,0010011010001001,1,8.0,5.0,0.375,-4.9,6,105,032321121010301,1
220,032303010012123,0010011010001011,1,8.0,5.0,0.375,-4.9,7,105,032321121010301,1
221,032303010012123,0010011010001101,1,8.0,5.0,0.375,-4.9,7,105,032321121010301,1
222,032303010012123,0010011010001111,1,8.0,5.0,0.375,-4.9,8,105,032321121010301,1
223,032300010121233,0010011010010001,1,8.0,5.0,0.421875,-4.9,6,21,003232121110301,2
224,032300010121233,0010011010010011,1,8.0,6.0,0.421875,-5.9,7,21,003232121110301,2
225,032300010121233,0010011010011011,1,8.0,6.0,0.421875,-5.9,8,21,003232121110301,2
226,032303010101223,0010011010100001,0,8.0,5.0,0.390625,-5.0,6,601,033212121010301,1
227,032303010101223,0010011010100011,0,8.0,5.0,0.390625,-5.0,7,601,033212121010301,1
228,032303010101223,0010011010100101,0,8.0,6.0,0.390625,-6.0,7,601,033212121010301,1
229,032303010101223,0010011010100111,0,8.0,6.0,0.390625,-6.0,8,601,033212121010301,1
230,032303010101223,0010011010101001,0,8.0,5.0,0.390625,-5.0,7,601,033212121010301,1
231,032303010101223,0010011010101011,0,8.0,5.0,0.390625,-5.0,8,601,033212121010301,1
232,032303010101223,0010011010101101,0,8.0,6.0,0.390625,-6.0,8,601,033212121010301,1
233,032303010101223,0010011010101111,0,8.0,6.0,0.390625,-6.0,9,601,033212121010301,1
234,032303010121103,0010011010111001,1,8.0,6.0,0.3125,-5.9,8,31,032212323030103,1
235,032303010101223,0010011011000001,0,8.0,4.0,0.390625,-4.0,6,601,033212121010301,1
236,032303010101223,0010011011100001,0,8.0,5.0,0.390625,-5.0,7,601,033212121010301,1
